Mese,Id Equipaggio,Delta Median,Reschedule Ratio,Norm Delta,Norm Reschedule,Composite,KPI
2,6578,69.6,0.037037037037037035,0.8373831775700934,0.8888888888888888,0.8717203184492904,82.67
2,6579,5.7,0.09278350515463918,0.9866822429906542,0.7216494845360825,0.8099937373542729,74.33
2,6730,61.6,0.0,0.8560747663551401,1.0,0.9520249221183801,93.52
2,6735,36.6,0.020202020202020204,0.9144859813084112,0.9393939393939393,0.9310912866987633,90.69
2,6769,113.8,0.012987012987012988,0.7341121495327102,0.961038961038961,0.8853966905368774,84.52
2,6858,58.6,0.0625,0.8630841121495326,0.8125,0.8293613707165108,76.95
2,7148,23.6,0.07692307692307693,0.944859813084112,0.7692307692307692,0.82777378384855,76.73
2,7173,18.0,0.008333333333333333,0.9579439252336449,0.9749999999999999,0.9693146417445482,95.85
2,7269,29.5,0.0,0.9310747663551402,1.0,0.9770249221183801,96.9
2,7308,151.0,0.0,0.647196261682243,1.0,0.8823987538940811,84.11
2,7345,1.3,0.014925373134328358,0.9969626168224299,0.9552238805970149,0.9691367926721531,95.83
2,7346,149.2,0.0,0.6514018691588785,1.0,0.8838006230529595,84.3
2,7450,53.2,0.0,0.8757009345794393,1.0,0.9585669781931465,94.4
2,7488,20.4,0.020202020202020204,0.9523364485981309,0.9393939393939393,0.9437081091286698,92.4
2,7489,151.7,0.03571428571428571,0.6455607476635514,0.8928571428571429,0.8104250111259457,74.39
2,7490,68.9,0.0,0.8390186915887851,1.0,0.9463395638629284,92.75
2,7542,56.9,0.0,0.8670560747663552,1.0,0.9556853582554516,94.01
2,7555,47.6,0.0,0.888785046728972,1.0,0.9629283489096573,94.99
2,7631,5.8,0.0,0.9864485981308411,1.0,0.9954828660436138,99.39
2,7635,4.0,0.0,0.9906542056074766,1.0,0.9968847352024922,99.58
2,7826,4.6,0.0,0.9892523364485981,1.0,0.996417445482866,99.52
2,7961,31.7,0.025,0.9259345794392524,0.9249999999999999,0.9253115264797508,89.91
2,7974,17.6,0.15053763440860216,0.9588785046728971,0.5483870967741935,0.6852175660737615,57.48
2,8004,97.5,0.0425531914893617,0.772196261682243,0.8723404255319148,0.8389590375820242,78.25
2,8013,34.8,0.0,0.9186915887850468,1.0,0.9728971962616823,96.34
2,8014,77.8,0.04672897196261682,0.8182242990654205,0.8598130841121495,0.8459501557632397,79.19
2,8015,87.0,0.05319148936170213,0.7967289719626168,0.8404255319148936,0.8258600119308014,76.48
2,8019,49.6,0.013888888888888888,0.8841121495327102,0.9583333333333333,0.9335929387331255,91.03
